lexeme	annotation
JWM/	unit
<TH	deictic_present
KL/	collection
<WLM/	duration
<T/	subunit
CNH/	unit
BQR=/	subunit
LJLH/	subunit
CB</	
<RB/	subunit
>Z	demonstrative_far
KN	event
CLC/	
MXR/	deictic_future
XDC=/	unit
>RB</	
>XR/	pos_posterior
CC/	
TMJD/	duration
PNH/	pos_anterior
NYX/	duration
MWT/	event
MXRT/	deictic_future
QY/	pos_end
JWM/|JWM/	
JWMM	subunit
<D/	duration
GM	
>XRJT/	pos_end
<YM/	pos_interior
R>CWN/	
JWMM|LJLH/	
>XD/	
DBR/	event
<WD/	duration
YHRJM/	subunit
TMWL/	deictic_past
DWR/|DWR/	
CMNH/	
CNJM/	
<WLM/|<D/	
MW<D/	subunit
QYH=/	pos_end
N<WRJM/	event
>RB</|>RB</	
DWR/	unit
XMC/	
R>C/	
KL/|KL/	
XYJ/	
CLC/|CLC/	
XJJM/	event
TXLH/	pos_start
HNH==	demonstrative_near
RG</	
<WLM/|<WLM/	
R>CJT/	pos_start
HL>H	deictic_future
BVN/	event
>TMWL/	deictic_past
BQR=/|BQR=/	
VRM/	pos_anterior
CLC/|>RB</	
>MC/	deictic_past
<FRJM/	
GM|<TH	
P<M/	event
>K	pos_start
CBJ<J/	
CBW</	
>XRWN/	pos_posterior
TCWBH/	event
NCP/	subunit
<FRJM/|TC</	
QDM/	pos_anterior
JWM/|<T/	
MSPR/	collection
TC</	
XYWT/	pos_interior
<FWR/	
<FRH=/	
JRX/	subunit
LJLH/|JWMM	
>WR/	event
JWM/|M<L/	
QYJR/	event
<CTJ/	
RXWQ/	duration
QJY/	subunit
MLKWT/	event
CBT/	subunit
XMC/|M>H/	
XMC/|CC/	
MBWL/	event
TC</|M>H/	
TMWL/|JWM/	
GM|GM	
KH	demonstrative_near
>CMRT/	
VHRH/	event
RQ	
<FRJM/|CNJM/	
<FR=/	
TQWPH/	pos_end
DJ/	
JWM/|CNH/	
GM|TMWL/|GM|CLCWM/	
CB</|CC/	
TWK/	pos_interior
LJLH/|JWM/	
<FRJM/|XMC/	
XMC/|CNJM/	
XMC/|XMC/	
CLC/|>XD/	
CLC/|CB</	
LJL/	
RB=/	
M<V/	collection
FJBH/	
<FRJM/|>RB</	
>RK=/	
QYT/	pos_end
MNXH/	event
RBJ<J/	
CBT/|XDC=/|MW<D/	
RWX/	event
CLC/|M>H/	
CB</|CMNH/	
XMC/|CMNH/	
>RB</|CMNH/	
CLC/|CMNH/	
CNJM/|CC/|M>H/	
CB</|CMNH/|M>H/	
CNJM/|CMNH/|CB</	
CNJM/|CMNH/|M>H/	
XMC/|TC</|XMC/	
TC</|XMC/	
XMC/|CLC/	
>RB</|CLC/	
CNJM/|CLC/	
CB</|M>H/	
M>H/	
TC</|<FRJM/	
JWM/|<FWR/	
TBW>H/	event
M>H/|<FR=/	
CLWXJM/	event
JWM/|MXR/	
XRJC/|QYJR/	
CC/|CC/	
JWBL/	event
JWM/|XDC=/|JWM/	
JWM/|MW<D/|R>C/	
KL/|KL/|KL/	
MGPH/	event
CNH/|CNH/	
XCK/	event
>RB</|XMC/	
<FRJM/|CLC/	
GM|LJLH/|GM|JWMM	
ZH|ZH	
NCP/|<RB/	
GM|>TMWL/|GM|CLCWM/	
JWM/|MXRT/	
>WR[	event
BQR=/|<T/	
JYQH/	event
>RB</|>XD/	
CNH/|CMNH/	
BQR=/|YHRJM/	
YHRJM/	subunit
JWM/|KL/	
DMJ=/	event
JTR/	collection
RXM/	event
ZQNH/	event
GM|>Z	
M<JM/	event
MY<R/	collection
DJ/|DJ/	
N<WRJM/|JWM/	
<T/|<T/	
CLC/|JWM/	
PH/	pos_anterior
XG/|XDC=/|CBT/	
XG/	event
CBT/|XDC=/	
XG/|MW<D/	
CXR/	subunit
HR/	event
GZ/	event
MHLK/	event
JWM/|M<L/|JWM/	
M<L/	duration
XMJCJ/|CBJ<J/	
QJY/|XRP/	
XRP/	subunit
>P	
<RB/|BQR=/|YHRJM/	
KS>=/	subunit
CMJM/|>RY/	
CB</|CB</	
BLT/	
>K|<TH	
DBR[	
KWN[	
>Z|<TH	
>LP=/	
JWM/|LJLH/	
GM|MXR/	
ZMN/	subunit
<RB/|BQR=/	
CBW</|CC/|CNJM/	
<FRJM/|>XD/	
MW<D/|MW<D/|XYJ/	
KL/|MLKWT/	
XG/	
CBT/|JWM/	
<T/|JWM/	
BQR=/|BQR=/|<RB/|<RB/	
<RB/|<RB/	
DBR/|>MT/	
<JLWM/	
CLC/|<FRH=/	
