marker,occur,impf,impv,infa,infc,perf,ptca,ptcp,wayq,weqt
CLCH JMJM,2,0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
CLC M>WT CNH,2,0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0)
CLC CNJM W >RB< M>WT CNH,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
CLC <FRH CNH,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
CB<T H JMJM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
CB<H XDCJM,2,0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0)
CB< CNJM W CCH XDCJM,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
CB< CNJM >XRWT,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
B XJJW,2,50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0)
B XJJ,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B LJL,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
B KL CNH W CNH,2,0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM VHRTW,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1)
B JWM QRH,2,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0)
B JWM QRB,2,0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0),0% (0)
B JWM H XDC,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM H CLG,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
B JWM >JDW,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM >JDM,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM >JDJ,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM <BRT JHWH,2,0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0)
B JMJ JHWJQJM BN J>CJHW MLK JHWDH,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
B JMJ CLMH,2,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0)
B JMJ C>WL,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
B JMJ >BRHM >BJW,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
B CNT >XT L KWRC MLK PRS,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
B CMNH <FRH CNH L  MLK J>CJHW,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
B CB< CNJ H FB<,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1)
B >RB<H <FR L  XDC H R>CWN,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
B >CMRT H BQR,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
B <WDJ,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B <WD CNTJM JMJM,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0)
B <T R<TM,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  XDC H XMJCJ,2,0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0)
B  XDC H R>CWN,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
B  XDC H CNJ,2,0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0)
B  TXLH,2,0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0),0% (0)
B  QYJR,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0)
B  P<M H Z>T,2,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0)
B  LJLWT,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0)
B  LJLH H ZH,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2)
B  JWM H RBJ<J,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
B  JWM H CLJCJ W B  JWM H CBJ<J,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1)
B  JWM H CLCJ,2,0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
B  JMJM H HM W B  <T H HJ>,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  JMJM H >LH,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0)
B  CNH H XMJCJT L  MLK RXB<M,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
B  CNH H RB<JT L JHWJQJM BN J>CJHW MLK JHWDH,2,0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0),0% (0)
B  CNH H HW>,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
B  CBT,2,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0)
>XRJK,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRJHN,2,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0)
>XRJHM,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
>XRJ VHRTW,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XRJ MWT >BRHM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
>XRJ KL Z>T,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
>XR KN,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
>XR H MBWL,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),50.0% (1),0% (0)
<WLM W <D,2,50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0)
<FRJM W XMC CNH,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
<FRJM W CTJM CNH,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
<FRJM CNH,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
<D MWT H KHN H GDL,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1)
<D L <WLM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1)
<D KH,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
<D DWR W DWR,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
<D <TH,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
<D <CTJ <FRH CNH L  MLK YDQJHW,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
ZH JMJM >W ZH CNJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
YHRJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
XYJ H CBW<,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
XMCJM W M>T JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
XMC W TC<JM CNH W XMC M>T CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
XMC W CLCJM CNH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
XMC W CCJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
XMC M>WT CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
XMC CNJM W M>T CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
XMC CNJM W CCJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
XMC <FRH CNH W CMNH M>WT CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
XDCW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
XDC,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
TMWL CLCWM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
TMWL CLCM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
TMWL,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
TMJD L  BQR W L  <RB,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
TMJD KL JMJ JHWJD<,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
TC<JM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
TC< W <FRJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
TC< M>WT CNH W XMCJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
TC< CNJM W M>TJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
TC< <FRH CNH W M>T CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
RQ L <T ZQNTW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
RQ B  JWM H HW>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
RG< >XD,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
RG<,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
RB<JT H JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
RB<JT,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
R>C H >CMRT H TJKWNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
MXR K  <T H Z>T,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
MSPR JMJ XJW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
MSPR JMJ XJJHM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
MSPR H JMJM CLC M>WT W TC<JM JWM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
MSPR H JMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
MNJ RXM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
MNJ BVN,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
MN H JWM W HL>H L DRTJKM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
MN H JWM W <D H JWM H ZH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
MN H JWM H ZH W M<LH M JWM <FRJM W >RB<H L  TCJ<J L MN H JWM,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
MN H JWM H ZH W M<LH,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
MN H JWM H ZH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
MN H JWM H R>CWN,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
MN H JWM H HW>,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
MN H BVN <D JWM MWTW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
MN H BQR <D H <RB,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
MN H >WR <D MXYJT H JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
MN H <WLM W <D H <WLM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
MN H <WLM W <D H <LM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
MN H <WLM <D H <WLM,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
MN H <T H HJ>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
MN CLC <FRH CNH L J>CJHW BN >MWN MLK JHWDH W <D H JWM H ZH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
MN BQR <D <RB,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
MHLK JWM >XD,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
M>TJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M>H W <FR CNJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M TXLT QYJR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M TML CLCM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
M RB JMJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M R>CJT,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
M QYTM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M QYT JMJM <FRH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M QYH XMCJM W M>T JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QYH TC<H XDCJM W <FRJM JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QYH CB<T JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QYH CB<H XDCJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M QYH CB< CNJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QYH <FRJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QY JMJM RBJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QY JMJM L  JMJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M QY CNTJM JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QY CNJM XDCJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QY CLC CNJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QY >RB<JM JWM W >RB<JM LJLH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M QY >RB<JM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QY <FRT JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QY <FRJM CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QY <FR CNJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M QDM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M N<WRJNW W <D <TH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M N<WRJ W <D <TH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M N<RJK <D <TH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M N<RJ <D H JWM H ZH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M N<RJ,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
M MXRT H XDC H CNJ,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M MXRT H CBT,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M M<J >MJ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M JWM L JWM,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M JWM H CMJNJ W HL>H,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M JWM >XD L  XDC H CBJ<J,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M JMJW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M JMJK,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M JMJ MLKJ >CWR <D H JWM H ZH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M JMJ H GB<H,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M JMJ H CPVJM W KL JMJ MLKJ JFR>L W MLKJ JHWDH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M JMJ CMW>L H NBJ>,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
M JMJ >SR_XDN MLK >CWR,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
M H NCP W <D H <RB L MXRTM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M H JWM H HW> W HL>H,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M H BQR W <D H YHRJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M H BQR W <D <T MW<D,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M H <WLM W <D H <WLM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
M DWR L DWR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M DJ XDC B XDCW W M DJ CBT B CBTW,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M CNT H JBL,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M >Z H BQR W <D <TH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M >TMWL CLCWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
M <WLM W <D <WLM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0)
L TQWPT H CNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L TQPWT H JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L TCWBT H CNH L <T,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L RWX H JWM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
L RG<JM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L R>C >CMRWT,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L QY JMJM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L QY H JMJN,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L QY H <TJM CNJM,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L PNJW W >XRJW,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L PNJK,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L PNJHM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
L PNJ MWTJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L PNJ KL XYJR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L PNJ H JMJM H HM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L PNJ H CBT,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L PJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L NYX NYXJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0)
L MXRT H JWM H HW>,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L MW<D XDC H >BJB,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L MTJ,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L MN H JWM W <D H JWM H ZH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L MN H JWM W <D <TH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L MN H JWM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L M RXWQ,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L M JWM W <D H JWM H ZH,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L M JWM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L M JMJ QDM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L M JMJ >BTJKM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L JWM PQDH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L JWM MW<D,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L JWM H KS>,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L JWM B JWM,1,0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0)
L JWM >XD,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L JWM >JD,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L JWM <BRWT,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L JMJM M JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L JMJM CMWNH,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L DWR W DWR,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L DRTM,1,0% (0),0% (0),0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
L DR W DWR,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
L DR W DR <D <WLM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L CNTJM JMJM,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1),0% (0)
L CLCT JMJM,1,0% (0),100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L CB< CNJ H R<B,1,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (1)
L >XRJTH,1,100.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
