marker,occur,impf,impv,infa,infc,perf,ptca,ptcp,wayq,weqt
B KL <T,12,33.3% (4),8.3% (1),0% (0),0% (0),16.7% (2),33.3% (4),0% (0),0% (0),8.3% (1)
B JMJW,12,41.7% (5),0% (0),0% (0),0% (0),58.3% (7),0% (0),0% (0),0% (0),0% (0)
B >XRJT H JMJM,12,41.7% (5),0% (0),0% (0),0% (0),16.7% (2),0% (0),0% (0),0% (0),41.7% (5)
B  LJLH,12,33.3% (4),0% (0),0% (0),0% (0),16.7% (2),8.3% (1),0% (0),41.7% (5),0% (0)
B  JWM H CMJNJ,12,66.7% (8),0% (0),0% (0),0% (0),8.3% (1),0% (0),0% (0),16.7% (2),8.3% (1)
<D >NH,12,75.0% (9),0% (0),0% (0),0% (0),16.7% (2),8.3% (1),0% (0),0% (0),0% (0)
L <LM,11,36.4% (4),0% (0),0% (0),18.2% (2),0% (0),0% (0),0% (0),0% (0),45.5% (5)
L <D,11,81.8% (9),0% (0),0% (0),0% (0),0% (0),18.2% (2),0% (0),0% (0),0% (0)
CC CNJM,11,36.4% (4),0% (0),0% (0),0% (0),18.2% (2),9.1% (1),0% (0),18.2% (2),18.2% (2)
CB< CNJM,11,18.2% (2),0% (0),0% (0),0% (0),27.3% (3),0% (0),0% (0),45.5% (5),9.1% (1)
B  YHRJM,11,45.5% (5),0% (0),0% (0),9.1% (1),9.1% (1),0% (0),0% (0),18.2% (2),18.2% (2)
CLCT JMJM,10,0% (0),10.0% (1),0% (0),10.0% (1),20.0% (2),0% (0),0% (0),50.0% (5),10.0% (1)
B JWM H CBT,10,60.0% (6),0% (0),10.0% (1),10.0% (1),0% (0),20.0% (2),0% (0),0% (0),0% (0)
B  BQR B  BQR,10,60.0% (6),0% (0),0% (0),10.0% (1),10.0% (1),0% (0),0% (0),10.0% (1),10.0% (1)
<D H BQR,10,40.0% (4),30.0% (3),0% (0),0% (0),0% (0),0% (0),0% (0),30.0% (3),0% (0)
<D BQR,10,70.0% (7),0% (0),0% (0),0% (0),10.0% (1),10.0% (1),0% (0),10.0% (1),0% (0)
KL JMJ XJJW,9,11.1% (1),0% (0),0% (0),0% (0),44.4% (4),11.1% (1),0% (0),11.1% (1),22.2% (2)
KL H LJLH,9,0% (0),0% (0),0% (0),0% (0),22.2% (2),0% (0),0% (0),77.8% (7),0% (0)
B <T,9,11.1% (1),0% (0),0% (0),11.1% (1),33.3% (3),11.1% (1),0% (0),33.3% (3),0% (0)
B  JWM H CNJ,9,11.1% (1),0% (0),0% (0),0% (0),22.2% (2),0% (0),0% (0),66.7% (6),0% (0)
KL JMJ,8,50.0% (4),0% (0),0% (0),0% (0),12.5% (1),12.5% (1),0% (0),25.0% (2),0% (0)
CLC CNJM,8,12.5% (1),0% (0),0% (0),0% (0),25.0% (2),0% (0),0% (0),62.5% (5),0% (0)
B JWM >XD,8,50.0% (4),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),25.0% (2),25.0% (2)
B  JWM,8,50.0% (4),0% (0),0% (0),0% (0),37.5% (3),0% (0),0% (0),0% (0),12.5% (1)
M <TH W <D <WLM,7,57.1% (4),14.3% (1),0% (0),14.3% (1),0% (0),0% (0),0% (0),0% (0),14.3% (1)
L PNJM,7,0% (0),0% (0),0% (0),0% (0),100.0% (7),0% (0),0% (0),0% (0),0% (0)
KL JMJW,7,0% (0),0% (0),0% (0),28.6% (2),57.1% (4),0% (0),0% (0),14.3% (1),0% (0)
KL JMJ XJJK,7,85.7% (6),14.3% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
JWM JWM,7,42.9% (3),0% (0),0% (0),42.9% (3),0% (0),0% (0),0% (0),14.3% (1),0% (0)
BJN H <RBJM,7,71.4% (5),0% (0),0% (0),14.3% (1),0% (0),0% (0),0% (0),0% (0),14.3% (1)
>XR H DBRJM H >LH,7,0% (0),0% (0),0% (0),0% (0),28.6% (2),0% (0),0% (0),71.4% (5),0% (0)
>RB<JM JWM W >RB<JM LJLH,7,0% (0),0% (0),0% (0),0% (0),14.3% (1),0% (0),0% (0),85.7% (6),0% (0)
M >Z,6,0% (0),0% (0),0% (0),0% (0),66.7% (4),16.7% (1),0% (0),16.7% (1),0% (0)
M <WLM,6,0% (0),0% (0),0% (0),0% (0),100.0% (6),0% (0),0% (0),0% (0),0% (0)
L <WLM W <D,6,83.3% (5),0% (0),0% (0),0% (0),16.7% (1),0% (0),0% (0),0% (0),0% (0)
L  BQR,6,33.3% (2),50.0% (3),0% (0),0% (0),0% (0),0% (0),0% (0),16.7% (1),0% (0)
KN,6,50.0% (3),0% (0),0% (0),0% (0),50.0% (3),0% (0),0% (0),0% (0),0% (0)
K  JWM H ZH,6,0% (0),0% (0),0% (0),50.0% (3),33.3% (2),0% (0),0% (0),16.7% (1),0% (0)
K  JWM,6,33.3% (2),66.7% (4),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
K  <T MXR,6,66.7% (4),16.7% (1),0% (0),0% (0),0% (0),16.7% (1),0% (0),0% (0),0% (0)
JWM >XD,6,50.0% (3),0% (0),0% (0),0% (0),16.7% (1),0% (0),0% (0),16.7% (1),16.7% (1)
JMJM,6,16.7% (1),0% (0),0% (0),0% (0),16.7% (1),0% (0),0% (0),50.0% (3),16.7% (1)
CLCH XDCJM,6,0% (0),0% (0),0% (0),16.7% (1),50.0% (3),0% (0),0% (0),33.3% (2),0% (0)
B <TW,6,16.7% (1),0% (0),0% (0),16.7% (1),0% (0),16.7% (1),0% (0),0% (0),50.0% (3)
<WLM,6,66.7% (4),0% (0),0% (0),0% (0),0% (0),16.7% (1),0% (0),16.7% (1),0% (0)
<D JWM,6,66.7% (4),0% (0),0% (0),0% (0),16.7% (1),0% (0),0% (0),16.7% (1),0% (0)
L  <RB,5,100.0% (5),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
CC <FRH CNH,5,0% (0),0% (0),0% (0),0% (0),100.0% (5),0% (0),0% (0),0% (0),0% (0)
CB<JM CNH,5,0% (0),0% (0),0% (0),0% (0),40.0% (2),0% (0),0% (0),40.0% (2),20.0% (1)
B  R>CNH,5,20.0% (1),20.0% (1),0% (0),0% (0),60.0% (3),0% (0),0% (0),0% (0),0% (0)
B  JWM H ZH,5,80.0% (4),0% (0),0% (0),0% (0),20.0% (1),0% (0),0% (0),0% (0),0% (0)
>XT <FRH CNH,5,0% (0),0% (0),0% (0),0% (0),100.0% (5),0% (0),0% (0),0% (0),0% (0)
<DJ <D,5,40.0% (2),40.0% (2),0% (0),20.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
VRM,4,100.0% (4),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M TMWL CLCWM,4,0% (0),0% (0),0% (0),0% (0),25.0% (1),75.0% (3),0% (0),0% (0),0% (0)
M R>C,4,0% (0),0% (0),0% (0),0% (0),75.0% (3),25.0% (1),0% (0),0% (0),0% (0)
M JWM,4,0% (0),0% (0),0% (0),0% (0),75.0% (3),0% (0),0% (0),25.0% (1),0% (0)
M JMJM JMJMH,4,25.0% (1),0% (0),0% (0),0% (0),25.0% (1),0% (0),0% (0),0% (0),50.0% (2)
L DR W DR,4,75.0% (3),0% (0),0% (0),0% (0),25.0% (1),0% (0),0% (0),0% (0),0% (0)
L  JWM,4,50.0% (2),0% (0),25.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),25.0% (1)
K  <T,4,25.0% (1),0% (0),0% (0),0% (0),75.0% (3),0% (0),0% (0),0% (0),0% (0)
JWM,4,25.0% (1),0% (0),25.0% (1),0% (0),25.0% (1),0% (0),0% (0),0% (0),25.0% (1)
CNH B CNH,4,75.0% (3),0% (0),0% (0),25.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
BQR,4,50.0% (2),0% (0),0% (0),25.0% (1),0% (0),25.0% (1),0% (0),0% (0),0% (0)
B JWM YRH,4,75.0% (3),25.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B JWM R<H,4,50.0% (2),25.0% (1),0% (0),0% (0),25.0% (1),0% (0),0% (0),0% (0),0% (0)
B  XDC H CBJ<J,4,25.0% (1),0% (0),0% (0),0% (0),25.0% (1),0% (0),0% (0),50.0% (2),0% (0)
B  JWM H R>CWN,4,25.0% (1),0% (0),0% (0),0% (0),25.0% (1),25.0% (1),0% (0),0% (0),25.0% (1)
B  JMJM H HMH,4,50.0% (2),0% (0),0% (0),0% (0),25.0% (1),0% (0),0% (0),0% (0),25.0% (1)
B  CNH H CLJCJT,4,0% (0),50.0% (2),0% (0),0% (0),25.0% (1),0% (0),0% (0),25.0% (1),0% (0)
>XRJ,4,50.0% (2),0% (0),0% (0),0% (0),50.0% (2),0% (0),0% (0),0% (0),0% (0)
>MC,4,0% (0),0% (0),0% (0),0% (0),75.0% (3),0% (0),0% (0),25.0% (1),0% (0)
<FRJM W TC< CNH,4,0% (0),0% (0),0% (0),0% (0),100.0% (4),0% (0),0% (0),0% (0),0% (0)
<D HNH,4,25.0% (1),0% (0),0% (0),0% (0),50.0% (2),25.0% (1),0% (0),0% (0),0% (0)
<D H JWM,4,0% (0),0% (0),0% (0),0% (0),25.0% (1),25.0% (1),0% (0),50.0% (2),0% (0)
M JMJM,3,33.3% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),66.7% (2),0% (0)
M JMJ QDM,3,0% (0),0% (0),0% (0),0% (0),100.0% (3),0% (0),0% (0),0% (0),0% (0)
M BVN,3,0% (0),0% (0),0% (0),0% (0),66.7% (2),33.3% (1),0% (0),0% (0),0% (0)
M >XRJ KN,3,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (3),0% (0)
M <TH,3,33.3% (1),0% (0),0% (0),0% (0),66.7% (2),0% (0),0% (0),0% (0),0% (0)
LJLH W JWMM,3,66.7% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),33.3% (1)
L TCWBT H CNH,3,0% (0),0% (0),0% (0),0% (0),33.3% (1),33.3% (1),0% (0),33.3% (1),0% (0)
L PNJ MWTW,3,33.3% (1),0% (0),0% (0),0% (0),33.3% (1),0% (0),0% (0),33.3% (1),0% (0)
L PNJ,3,0% (0),0% (0),0% (0),0% (0),66.7% (2),33.3% (1),0% (0),0% (0),0% (0)
L MXR,3,33.3% (1),66.7% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
L <T,3,33.3% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),66.7% (2),0% (0)
L  MW<D,3,33.3% (1),0% (0),0% (0),0% (0),0% (0),0% (0),33.3% (1),33.3% (1),0% (0)
JMJM CLCH,3,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (3),0% (0)
H CNH,3,0% (0),0% (0),66.7% (2),0% (0),0% (0),33.3% (1),0% (0),0% (0),0% (0)
CTJM CNJM,3,0% (0),0% (0),0% (0),0% (0),100.0% (3),0% (0),0% (0),0% (0),0% (0)
CNH >XT,3,33.3% (1),0% (0),0% (0),0% (0),66.7% (2),0% (0),0% (0),0% (0),0% (0)
CLCJM CNH,3,0% (0),0% (0),0% (0),0% (0),33.3% (1),0% (0),0% (0),66.7% (2),0% (0)
CB<T JMJM >XRJM,3,0% (0),0% (0),0% (0),33.3% (1),0% (0),0% (0),0% (0),66.7% (2),0% (0)
CB< <FRH CNH,3,0% (0),0% (0),0% (0),0% (0),66.7% (2),0% (0),0% (0),33.3% (1),0% (0)
B XYJ H LJLH,3,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (3),0% (0)
B KL JWM,3,33.3% (1),0% (0),0% (0),0% (0),33.3% (1),33.3% (1),0% (0),0% (0),0% (0)
B JWM YRTJ,3,33.3% (1),0% (0),0% (0),0% (0),33.3% (1),33.3% (1),0% (0),0% (0),0% (0)
B JWM H QHL,3,0% (0),0% (0),0% (0),0% (0),100.0% (3),0% (0),0% (0),0% (0),0% (0)
B JWM >PW,3,0% (0),0% (0),0% (0),0% (0),66.7% (2),33.3% (1),0% (0),0% (0),0% (0)
B JMJKM,3,33.3% (1),0% (0),0% (0),0% (0),33.3% (1),33.3% (1),0% (0),0% (0),0% (0)
B JMJ,3,33.3% (1),0% (0),0% (0),0% (0),33.3% (1),0% (0),0% (0),33.3% (1),0% (0)
B CNH >XT,3,33.3% (1),0% (0),0% (0),0% (0),66.7% (2),0% (0),0% (0),0% (0),0% (0)
B <WD CLCT JMJM,3,66.7% (2),0% (0),0% (0),0% (0),0% (0),33.3% (1),0% (0),0% (0),0% (0)
B <T PQDTM,3,100.0% (3),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  QJY,3,33.3% (1),0% (0),0% (0),0% (0),0% (0),33.3% (1),0% (0),33.3% (1),0% (0)
B  NCP,3,0% (0),0% (0),0% (0),0% (0),0% (0),33.3% (1),0% (0),66.7% (2),0% (0)
B  JWM H CCJ,3,0% (0),0% (0),0% (0),0% (0),33.3% (1),33.3% (1),0% (0),0% (0),33.3% (1)
B  CNH H HJ>,3,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (3),0% (0)
B  CNH H CBJ<T,3,100.0% (3),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
B  CNH,3,33.3% (1),0% (0),0% (0),33.3% (1),0% (0),0% (0),0% (0),0% (0),33.3% (1)
>XT B  CNH,3,33.3% (1),0% (0),0% (0),33.3% (1),0% (0),0% (0),0% (0),0% (0),33.3% (1)
>XRJ H DBRJM H >LH,3,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (3),0% (0)
>RB<JM JWM,3,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),66.7% (2),33.3% (1)
<WLMJM,3,33.3% (1),0% (0),0% (0),66.7% (2),0% (0),0% (0),0% (0),0% (0),0% (0)
<D JWM MWTW,3,0% (0),0% (0),0% (0),33.3% (1),0% (0),0% (0),0% (0),66.7% (2),0% (0)
<D CNT H JBL,3,33.3% (1),0% (0),0% (0),0% (0),0% (0),33.3% (1),0% (0),0% (0),33.3% (1)
<D <YM H JWM H ZH,3,33.3% (1),0% (0),0% (0),0% (0),33.3% (1),0% (0),0% (0),33.3% (1),0% (0)
<D <T QY,3,0% (0),33.3% (1),0% (0),33.3% (1),0% (0),0% (0),33.3% (1),0% (0),0% (0)
XYWT LJLH,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
XMCJM W XMC CNH,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
XMCJM W CTJM CNH,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
XDC JMJM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1)
QDM,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0)
MN H JWM,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
MN H <WLM,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
M RXWQ,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0)
M QYH CLCT JMJM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
M QYH CLC CNJM,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
M QY JMJM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
M QY CB<JM CNH,2,50.0% (1),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0)
M QY CB< CNJM,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M QY >RB<JM JWM,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
M N<WRJK,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),50.0% (1),0% (0),0% (0),0% (0)
M JWM >L JWM,2,50.0% (1),50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M JWM <D LJLH,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
M JMJM RBJM,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
M H JWM H HW> W M<LH,2,0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0)
M DJ CNH B CNH,2,0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),50.0% (1)
M <RB <D BQR,2,100.0% (2),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0)
LJLH W JWM,2,50.0% (1),0% (0),0% (0),50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0)
L QY CNJM,2,50.0% (1),0% (0),0% (0),0% (0),0% (0),0% (0),0% (0),50.0% (1),0% (0)
L PNJW,2,0% (0),0% (0),0% (0),0% (0),100.0% (2),0% (0),0% (0),0% (0),0% (0)
