book,chapter,verse,clause.n,verb.n,lexeme,tense,domain,has.timex,position.at.cl,cl.dependency
Genesis,3,1,427769,1171,HJH[,perf,N,2,2,I
Genesis,3,1,427770,1179,<FH[,perf,N,2,2,D
Genesis,3,1,427771,1183,>MR[,wayq,N,2,2,I
Genesis,3,1,427772,1189,>MR[,perf,Q,2,2,I
Genesis,3,1,427773,1192,>KL[,impf,Q,2,2,I
Genesis,3,2,427774,1199,>MR[,wayq,N,2,2,I
Genesis,3,2,427775,1210,>KL[,impf,Q,2,2,I
Genesis,3,3,427776,0,ø,ø,Q,2,2,I
Genesis,3,3,427777,0,ø,ø,Q,2,2,D
Genesis,3,3,427778,1221,>MR[,perf,Q,2,2,I
Genesis,3,3,427779,1224,>KL[,impf,Q,2,2,D
Genesis,3,3,427780,1228,NG<[,impf,Q,2,2,I
Genesis,3,3,427781,1231,MWT[,impf,Q,2,2,I
Genesis,3,4,427782,1233,>MR[,wayq,N,2,2,I
Genesis,3,4,427783,1241,MWT[,impf,Q,2,2,I
Genesis,3,5,427784,0,ø,ø,Q,2,2,I
Genesis,3,5,427785,0,ø,ø,Q,2,2,D
Genesis,3,5,427786,1248,>KL[,infc,Q,2,2,D
Genesis,3,5,427787,1251,PQX[,weqt,Q,2,2,D
Genesis,3,5,427788,1254,HJH[,weqt,Q,2,2,D
Genesis,3,5,427789,0,ø,ø,Q,2,2,D
Genesis,3,6,427790,1262,R>H[,wayq,N,2,2,I
Genesis,3,6,427791,0,ø,ø,N,2,2,D
Genesis,3,6,427792,0,ø,ø,N,2,2,D
Genesis,3,6,427793,0,ø,ø,N,2,2,D
Genesis,3,6,427794,1283,FKL[,infc,N,2,2,D
Genesis,3,6,427795,1285,LQX[,wayq,N,2,2,I
Genesis,3,6,427796,1289,>KL[,wayq,N,2,2,I
Genesis,3,6,427797,1291,NTN[,wayq,N,2,2,I
Genesis,3,6,427798,1297,>KL[,wayq,N,2,2,I
Genesis,3,7,427799,1299,PQX[,wayq,N,2,2,I
Genesis,3,7,427800,1303,JD<[,wayq,N,2,2,I
Genesis,3,7,427801,0,ø,ø,N,2,2,D
Genesis,3,7,427802,1308,TPR[,wayq,N,2,2,I
Genesis,3,7,427803,1312,<FH[,wayq,N,2,2,I
Genesis,3,8,427804,1316,CM<[,wayq,N,2,2,I
Genesis,3,8,427805,0,ø,ø,N,1,2,D
Genesis,3,8,427806,1330,XB>[,wayq,N,2,2,I
Genesis,3,9,427807,1345,QR>[,wayq,N,2,2,I
Genesis,3,9,427808,1352,>MR[,wayq,N,2,2,I
Genesis,3,9,427809,0,ø,ø,Q,2,2,I
Genesis,3,10,427810,1356,>MR[,wayq,N,2,2,I
Genesis,3,10,427811,1359,CM<[,perf,Q,2,2,I
Genesis,3,10,427812,1364,JR>[,wayq,N,2,2,I
Genesis,3,10,427813,0,ø,ø,N,2,2,I
Genesis,3,10,427814,1369,XB>[,wayq,N,2,2,I
Genesis,3,11,427815,1371,>MR[,wayq,N,2,2,I
Genesis,3,11,427816,1373,NGD[,perf,Q,2,2,I
Genesis,3,11,427817,0,ø,ø,Q,2,2,D
Genesis,3,11,427818,1388,>KL[,perf,Q,2,2,I
Genesis,3,11,427819,1383,YWH[,perf,Q,2,2,D
Genesis,3,11,427820,1386,>KL[,infc,Q,2,2,D
Genesis,3,12,427821,1390,>MR[,wayq,N,2,2,I
Genesis,3,12,427822,0,ø,ø,Q,2,2,I
Genesis,3,12,427823,1396,NTN[,perf,Q,2,2,D
Genesis,3,12,427824,1399,NTN[,perf,Q,2,2,D
Genesis,3,12,427825,1405,>KL[,wayq,N,2,2,D
Genesis,3,13,427826,1407,>MR[,wayq,N,2,2,I
Genesis,3,13,427827,1415,<FH[,perf,Q,2,2,I
Genesis,3,13,427828,1417,>MR[,wayq,N,2,2,I
Genesis,3,13,427829,1422,NC>=[,perf,Q,2,2,I
Genesis,3,13,427830,1424,>KL[,wayq,N,2,2,I
Genesis,3,14,427831,1426,>MR[,wayq,N,2,2,I
Genesis,3,14,427832,1433,<FH[,perf,Q,2,2,I
Genesis,3,14,427833,0,ø,ø,Q,2,2,I
Genesis,3,14,427834,1449,HLK[,impf,Q,2,2,I
Genesis,3,14,427835,1452,>KL[,impf,Q,1,2,I
Genesis,3,15,427836,1458,CJT[,impf,Q,2,2,I
Genesis,3,15,427837,1471,CWP[,impf,Q,2,2,I
Genesis,3,15,427838,1475,CWP=[,impf,Q,2,2,I
Genesis,3,16,427839,1480,>MR[,perf,N,2,2,I
Genesis,3,16,427840,1482,RBH[,impf,Q,2,2,I
Genesis,3,16,427841,1488,JLD[,impf,Q,2,2,I
Genesis,3,16,427842,0,ø,ø,Q,2,2,I
Genesis,3,16,427843,1496,MCL[,impf,Q,2,2,I
Genesis,3,17,427844,1501,>MR[,perf,N,2,2,I
Genesis,3,17,427845,1503,CM<[,perf,Q,2,2,I
Genesis,3,17,427846,1508,>KL[,wayq,N,2,2,I
Genesis,3,17,427847,1513,YWH[,perf,N,2,2,D
Genesis,3,17,427848,1515,>MR[,infc,N,2,2,D
Genesis,3,17,427849,1517,>KL[,impf,Q,2,2,I
Genesis,3,17,427850,0,ø,ø,Q,2,2,I
Genesis,3,17,427851,1526,>KL[,impf,Q,1,2,I
Genesis,3,18,427852,1534,YMX[,impf,Q,2,2,I
Genesis,3,18,427853,1537,>KL[,weqt,Q,2,2,I
Genesis,3,19,427854,1545,>KL[,impf,Q,2,2,I
Genesis,3,19,427855,1548,CWB[,infc,Q,2,2,D
Genesis,3,19,427856,1554,LQX[,perf,Q,2,2,I
Genesis,3,19,427857,0,ø,ø,Q,2,2,I
Genesis,3,19,427858,1561,CWB[,impf,Q,2,2,I
Genesis,3,20,427859,1563,QR>[,wayq,N,2,2,I
Genesis,3,20,427860,1571,HJH[,perf,N,2,2,I
Genesis,3,21,427861,1576,<FH[,wayq,N,2,2,I
Genesis,3,21,427862,1587,LBC[,wayq,N,2,2,I
Genesis,3,22,427863,1589,>MR[,wayq,N,2,2,I
Genesis,3,22,427864,1595,HJH[,perf,Q,2,2,I
Genesis,3,22,427865,1600,JD<[,infc,Q,2,2,D
Genesis,3,22,427866,0,ø,ø,Q,1,2,I
Genesis,3,22,427867,1607,CLX[,impf,Q,2,2,I
Genesis,3,22,427868,1610,LQX[,weqt,Q,2,2,I
Genesis,3,22,427869,1617,>KL[,weqt,Q,2,2,I
Genesis,3,22,427870,1619,XJH[,weqt,Q,1,2,I
Genesis,3,23,427871,1623,CLX[,wayq,N,2,2,I
Genesis,3,23,427872,1630,<BD[,infc,N,2,2,D
Genesis,3,23,427873,1635,LQX[,perf,N,2,2,D
Genesis,3,24,427874,1639,GRC[,wayq,N,2,2,I
