book,chapter,verse,clause.n,phrase.n,phrase.trans,preps,num.preps,subs,num.subs,quants,num.quants,advbs,num.advbs,pdp.pattern,domain,verb.lex,verb.tense,position.at.vb,position.at.cl,cl.dependency
Genesis,1,1,427553,651503,B R>CJT,B,1,R>CJT/,1,ø,0,ø,0,prep-subs,?,BR>[,perf,2,1,I
Genesis,2,2,427680,651884,B H JWM H CBJ<J,B,1,JWM/,1,ø,0,ø,0,prep-art-subs-art-adjv,N,KLH[,wayq,2,4,I
Genesis,2,2,427682,651890,B H JWM H CBJ<J,B,1,JWM/,1,ø,0,ø,0,prep-art-subs-art-adjv,N,CBT[,wayq,2,3,I
Genesis,2,5,427693,651918,VRM,ø,0,ø,0,ø,0,VRM/,1,advb,D,HJH[,impf,2,3,I
Genesis,2,5,427694,651923,VRM,ø,0,ø,0,ø,0,VRM/,1,advb,D,YMX[,impf,2,3,I
Genesis,2,17,427738,652050,B JWM,B,1,JWM/,1,ø,0,ø,0,prep-subs,Q,MWT[,impf,2,2,I
Genesis,3,8,427805,652259,L RWX H JWM,L,1,RWX/,1,ø,0,ø,0,prep-subs-art-subs,N,ø,ø,2,3,D
Genesis,3,14,427835,652341,KL JWM XJJM,ø,0,KL/,1,ø,0,ø,0,subs-subs-subs,Q,>KL[,impf,2,4,I
Genesis,3,17,427851,652388,KL JWM XJJM,ø,0,KL/,1,ø,0,ø,0,subs-subs-subs,Q,>KL[,impf,2,3,I
Genesis,3,22,427866,652436,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,3,22,427870,652447,L <WLM,L,1,<WLM/,1,ø,0,ø,0,prep-subs,Q,XJH[,weqt,2,3,I
Genesis,4,3,427887,652496,MN QY JWM,MN,1,QY/,1,ø,0,ø,0,prep-subs-subs,N,HJH[,wayq,2,3,I
Genesis,4,11,427916,652589,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,4,14,427927,652620,H JWM,ø,0,JWM/,1,ø,0,ø,0,art-subs,Q,GRC[,perf,2,4,I
Genesis,4,26,427975,652775,>Z,ø,0,ø,0,ø,0,>Z,1,advb,N,XLL[,perf,2,1,I
Genesis,5,1,427978,652781,B JWM,B,1,JWM/,1,ø,0,ø,0,prep-subs,?,<FH[,perf,2,1,I
