book,chapter,verse,clause.n,phrase.n,phrase.trans,preps,num.preps,subs,num.subs,quants,num.quants,advbs,num.advbs,pdp.pattern,domain,verb.lex,verb.tense,position.at.vb,position.at.cl,cl.dependency
Genesis,5,2,427982,652797,B JWM,B,1,JWM/,1,ø,0,ø,0,prep-subs,N,QR>[,wayq,2,5,I
Genesis,5,3,427984,652802,CLC W M>H CNH,ø,0,CLC/|M>H/,2,CLC/|M>H/,2,ø,0,subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,6,427993,652831,XMC CNH W M>H CNH,ø,0,XMC/|M>H/,2,XMC/|M>H/,2,ø,0,subs-subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,7,427995,652840,CB< CNH W CMNH M>H CNH,ø,0,CB</|CMNH/,2,CB</|CMNH/|M>H/,3,ø,0,subs-subs-conj-subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,9,428000,652853,TC< CNH,ø,0,TC</,1,TC</,1,ø,0,subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,10,428002,652862,XMC <FRH CNH W CMNH M>H CNH,ø,0,XMC/|CMNH/,2,XMC/|<FRH/|CMNH/|M>H/,4,ø,0,subs-subs-subs-conj-subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,12,428007,652875,CB< CNH,ø,0,CB</,1,CB</,1,ø,0,subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,13,428009,652884,>RB< CNH W CMNH M>H CNH,ø,0,>RB</|CMNH/,2,>RB</|CMNH/|M>H/,3,ø,0,subs-subs-conj-subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,15,428014,652897,XMC CNH W CC CNH,ø,0,XMC/|CC/,2,XMC/|CC/,2,ø,0,subs-subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,16,428016,652906,CLC CNH W CMNH M>H CNH,ø,0,CLC/|CMNH/,2,CLC/|CMNH/|M>H/,3,ø,0,subs-subs-conj-subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,18,428021,652919,CNJM W CC CNH W M>H CNH,ø,0,CNJM/|CC/|M>H/,3,CNJM/|CC/|M>H/,3,ø,0,subs-conj-subs-subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,19,428023,652928,CMNH M>H CNH,ø,0,CMNH/,1,CMNH/|M>H/,2,ø,0,subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,21,428028,652941,XMC W CC CNH,ø,0,XMC/|CC/,2,XMC/|CC/,2,ø,0,subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,22,428030,652951,CLC M>H CNH,ø,0,CLC/,1,CLC/|M>H/,2,ø,0,subs-subs-subs,N,HLK[,wayq,2,5,I
Genesis,5,25,428037,652972,CB< W CMNH CNH W M>H CNH,ø,0,CB</|CMNH/|M>H/,3,CB</|CMNH/|M>H/,3,ø,0,subs-conj-subs-subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,26,428039,652981,CNJM W CMNH CNH W CB< M>H CNH,ø,0,CNJM/|CMNH/|CB</,3,CNJM/|CMNH/|CB</|M>H/,4,ø,0,subs-conj-subs-subs-conj-subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,28,428044,652994,CNJM W CMNH CNH W M>H CNH,ø,0,CNJM/|CMNH/|M>H/,3,CNJM/|CMNH/|M>H/,3,ø,0,subs-conj-subs-subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,5,30,428050,653015,XMC W TC< CNH W XMC M>H CNH,ø,0,XMC/|TC</|XMC/,3,XMC/|TC</|XMC/|M>H/,4,ø,0,subs-conj-subs-subs-conj-subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,6,3,428066,653065,L <WLM,L,1,<WLM/,1,ø,0,ø,0,prep-subs,Q,DWN[,impf,2,5,I
Genesis,6,4,428069,653076,B H JWM H HM,B,1,JWM/,1,ø,0,ø,0,prep-art-subs-art-prde,N,HJH[,perf,2,4,I
Genesis,6,4,428070,653079,>XR KN,>XR/,1,ø,0,ø,0,KN,1,prep-advb,N,ø,ø,2,3,I
Genesis,6,5,428078,653103,KL H JWM,ø,0,KL/,1,ø,0,ø,0,subs-art-subs,N,ø,ø,2,5,D
Genesis,7,10,428156,653357,L CB< H JWM,L,1,CB</,1,CB</,1,ø,0,prep-subs-art-subs,N,HJH[,wayq,2,3,I
Genesis,7,12,428160,653375,>RB< JWM W >RB< LJLH,ø,0,>RB</|>RB</,2,>RB</|>RB</,2,ø,0,subs-subs-conj-subs-subs,N,HJH[,wayq,2,5,I
Genesis,7,13,428161,653376,B <YM H JWM H ZH,B,1,<YM/,1,ø,0,ø,0,prep-subs-art-subs-art-prde,N,BW>[,perf,2,1,I
Genesis,7,17,428170,653408,>RB< JWM,ø,0,>RB</,1,>RB</,1,ø,0,subs-subs,N,HJH[,wayq,2,4,I
Genesis,7,24,428193,653483,XMC W M>H JWM,ø,0,XMC/|M>H/,2,XMC/|M>H/,2,ø,0,subs-conj-subs-subs,N,GBR[,wayq,2,5,I
Genesis,8,3,428201,653514,MN QYH XMC W M>H JWM,MN,1,QYH=/,1,XMC/|M>H/,2,ø,0,prep-subs-subs-conj-subs-subs,N,XSR[,wayq,2,4,I
Genesis,8,5,428203,653525,<D H XDC H <FJRJ,<D,1,XDC=/,1,ø,0,ø,0,prep-art-subs-art-adjv,N,HJH[,perf,2,5,I
Genesis,8,6,428205,653532,MN QY >RB< JWM,MN,1,QY/,1,>RB</,1,ø,0,prep-subs-subs-subs,N,HJH[,wayq,2,3,I
Genesis,8,10,428220,653583,CB< JWM >XR,ø,0,CB</,1,CB</,1,ø,0,subs-subs-adjv,N,XJL==[,wayq,2,4,I
Genesis,8,11,428223,653593,L <T <RB,L,1,<T/,1,ø,0,ø,0,prep-subs-subs,N,BW>[,wayq,2,5,I
Genesis,8,12,428227,653608,CB< JWM >XR,ø,0,CB</,1,CB</,1,ø,0,subs-subs-adjv,N,JXL[,wayq,2,4,I
Genesis,8,22,428260,653714,KL JWM H >RY,ø,0,KL/,1,ø,0,ø,0,subs-subs-art-subs,Q,CBT[,impf,2,2,I
Genesis,9,12,428297,653831,L DWR <WLM,L,1,DWR/,1,ø,0,ø,0,prep-subs-subs,Q,ø,ø,2,3,I
Genesis,9,29,428350,653989,TC< M>H CNH W XMC CNH,ø,0,TC</|XMC/,2,TC</|M>H/|XMC/,3,ø,0,subs-subs-subs-conj-subs-subs,N,HJH[,wayq,2,4,I
Genesis,10,1,428353,653999,>XR H MBWL,>XR/,1,MBWL/,1,ø,0,ø,0,prep-art-subs,N,JLD[,wayq,2,5,I
Genesis,10,18,428380,654080,>XR,ø,0,ø,0,ø,0,>XR/,1,advb,?,PWY[,perf,2,2,I
Genesis,10,25,428393,654124,B JWM,B,1,JWM/,1,ø,0,ø,0,prep-subs,?,PLG[,perf,2,2,I
Genesis,10,32,428404,654163,>XR H MBWL,>XR/,1,MBWL/,1,ø,0,ø,0,prep-art-subs,?,PRD[,perf,2,6,I
Genesis,11,6,428432,654236,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,BYR=[,impf,2,2,I
Genesis,11,10,428448,654286,CNH >XR H MBWL,>XR/,1,CNH/,1,ø,0,ø,0,subs-prep-art-subs,N,JLD[,wayq,2,4,I
Genesis,11,11,428449,654292,XMC M>H CNH,ø,0,XMC/,1,XMC/|M>H/,2,ø,0,subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,12,428452,654299,XMC W CLC CNH,ø,0,XMC/|CLC/,2,XMC/|CLC/,2,ø,0,subs-conj-subs-subs,N,XJH[,perf,2,4,I
Genesis,11,13,428454,654308,CLC CNH W >RB< M>H CNH,ø,0,CLC/|>RB</,2,CLC/|>RB</|M>H/,3,ø,0,subs-subs-conj-subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,14,428457,654315,CLC CNH,ø,0,CLC/,1,CLC/,1,ø,0,subs-subs,N,XJH[,perf,2,4,I
Genesis,11,15,428459,654324,CLC CNH W >RB< M>H CNH,ø,0,CLC/|>RB</,2,CLC/|>RB</|M>H/,3,ø,0,subs-subs-conj-subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,16,428462,654331,>RB< W CLC CNH,ø,0,>RB</|CLC/,2,>RB</|CLC/,2,ø,0,subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,17,428464,654340,CLC CNH W >RB< M>H CNH,ø,0,CLC/|>RB</,2,CLC/|>RB</|M>H/,3,ø,0,subs-subs-conj-subs-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,18,428467,654347,CLC CNH,ø,0,CLC/,1,CLC/,1,ø,0,subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,19,428469,654356,TC< CNH W M>H CNH,ø,0,TC</|M>H/,2,TC</|M>H/,2,ø,0,subs-subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,20,428472,654363,CNJM W CLC CNH,ø,0,CNJM/|CLC/,2,CNJM/|CLC/,2,ø,0,subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,21,428474,654372,CB< CNH W M>H CNH,ø,0,CB</|M>H/,2,CB</|M>H/,2,ø,0,subs-subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,22,428477,654379,CLC CNH,ø,0,CLC/,1,CLC/,1,ø,0,subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,23,428479,654388,M>H CNH,ø,0,M>H/,1,M>H/,1,ø,0,subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,24,428482,654395,TC< W <FRJM CNH,ø,0,TC</|<FRJM/,2,TC</|<FRJM/,2,ø,0,subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,25,428484,654404,TC< <FRH CNH W M>H CNH,ø,0,TC</|M>H/,2,TC</|<FRH/|M>H/,3,ø,0,subs-subs-subs-conj-subs-subs,N,XJH[,wayq,2,4,I
Genesis,11,26,428487,654411,CB< CNH,ø,0,CB</,1,CB</,1,ø,0,subs-subs,N,XJH[,wayq,2,4,I
Genesis,12,6,428527,654541,>Z,ø,0,ø,0,ø,0,>Z,1,advb,N,ø,ø,2,3,I
Genesis,12,19,428578,654707,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,13,3,428590,654747,B H TXLH,B,1,TXLH/,1,ø,0,ø,0,prep-art-subs,N,HJH[,perf,2,5,D
Genesis,13,4,428592,654753,B H R>CWN,B,1,R>CWN/,1,ø,0,ø,0,prep-art-subs,N,<FH[,perf,2,4,D
Genesis,13,7,428602,654789,>Z,ø,0,ø,0,ø,0,>Z,1,advb,N,ø,ø,2,3,I
Genesis,13,15,428633,654891,<D <WLM,<D,1,<WLM/,1,ø,0,ø,0,prep-subs,Q,ø,ø,2,3,I
Genesis,14,1,428646,654928,B JWM >MRPL MLK CN<R >RJWK MLK >LSR KDRL<MR MLK <JLM W TD<L MLK GWJM,B,1,JWM/,1,ø,0,ø,0,prep-subs-nmpr-subs-nmpr-nmpr-subs-nmpr-nmpr-subs-nmpr-conj-nmpr-subs-nmpr,N,HJH[,wayq,2,3,I
Genesis,14,4,428651,654939,CNJM <FRH CNH,ø,0,CNJM/,1,CNJM/|<FRH/,2,ø,0,subs-subs-subs,N,<BD[,perf,2,1,I
Genesis,14,4,428652,654943,CLC <FRH CNH,ø,0,CLC/,1,CLC/|<FRH/,2,ø,0,subs-subs-subs,N,MRD[,perf,2,2,I
Genesis,14,5,428653,654946,B >RB< <FRH CNH,B,1,>RB</,1,>RB</|<FRH/,2,ø,0,prep-subs-subs-subs,N,BW>[,perf,2,2,I
Genesis,14,15,428687,655048,LJLH,ø,0,ø,0,ø,0,LJLH/,1,advb,N,XLQ[,wayq,2,4,I
Genesis,15,13,428781,655312,>RB< M>H CNH,ø,0,>RB</,1,>RB</|M>H/,2,ø,0,subs-subs-subs,Q,<NH=[,weqt,2,4,I
Genesis,15,14,428784,655320,>XR KN,>XR/,1,ø,0,ø,0,KN,1,prep-advb,Q,JY>[,impf,2,2,I
Genesis,15,16,428788,655338,<D HNH,<D,1,ø,0,ø,0,HNH==,1,prep-advb,Q,ø,ø,2,5,I
Genesis,15,18,428794,655352,B H JWM H HW>,B,1,JWM/,1,ø,0,ø,0,prep-art-subs-art-prde,N,KRT[,perf,2,1,I
Genesis,16,3,428809,655402,MN QY <FR CNH,MN,1,QY/,1,<FR=/,1,ø,0,prep-subs-subs-subs,N,LQX[,wayq,2,5,I
Genesis,17,21,428933,655805,L H MW<D H ZH B H CNH H >XR,L|B,2,MW<D/,1,ø,0,ø,0,prep-art-subs-art-prde-prep-art-subs-art-adjv,Q,JLD[,impf,2,5,D
Genesis,17,23,428938,655821,B <YM H JWM H ZH,B,1,<YM/,1,ø,0,ø,0,prep-subs-art-subs-art-prde,N,MWL[,wayq,2,4,I
Genesis,17,26,428944,655836,B <YM H JWM H ZH,B,1,<YM/,1,ø,0,ø,0,prep-subs-art-subs-art-prde,N,MWL[,perf,2,1,I
Genesis,18,5,428965,655900,>XR,ø,0,ø,0,ø,0,>XR/,1,advb,Q,<BR[,impf,2,1,I
Genesis,18,10,428990,655968,K H <T XJ,K,1,<T/,1,ø,0,ø,0,prep-art-subs-adjv,Q,CWB[,impf,2,4,I
Genesis,19,1,429103,656292,B H <RB,B,1,<RB/,1,ø,0,ø,0,prep-art-subs,N,BW>[,wayq,2,5,I
Genesis,19,5,429132,656367,H LJLH,ø,0,LJLH/,1,ø,0,ø,0,art-subs,Q,BW>[,perf,2,4,D
Genesis,19,9,429152,656424,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,R<<[,impf,2,1,I
Genesis,19,33,429255,656737,B H LJLH HW>,B,1,LJLH/,1,ø,0,ø,0,prep-art-subs-prde,N,CQH[,wayq,2,5,I
Genesis,19,34,429261,656752,MN MXRT,MN,1,MXRT/,1,ø,0,ø,0,prep-subs,N,HJH[,wayq,2,3,I
Genesis,19,34,429263,656759,>MC,ø,0,ø,0,ø,0,>MC/,1,advb,Q,CKB[,perf,2,3,I
Genesis,19,34,429264,656763,GM H LJLH,ø,0,LJLH/,1,ø,0,GM,1,advb-art-subs,Q,CQH[,impf,2,3,I
Genesis,19,35,429268,656774,GM B H LJLH H HW>,B,1,LJLH/,1,ø,0,GM,1,advb-prep-art-subs-art-prde,N,CQH[,wayq,2,3,I
Genesis,19,37,429277,656803,<D H JWM,<D,1,JWM/,1,ø,0,ø,0,prep-art-subs,N,ø,ø,2,3,I
Genesis,19,38,429280,656814,<D H JWM,<D,1,JWM/,1,ø,0,ø,0,prep-art-subs,N,ø,ø,2,3,I
Genesis,20,3,429288,656843,H LJLH,ø,0,LJLH/,1,ø,0,ø,0,art-subs,N,BW>[,wayq,2,6,I
Genesis,20,7,429309,656904,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,20,8,429318,656929,B H BQR,B,1,BQR=/,1,ø,0,ø,0,prep-art-subs,N,CKM[,wayq,2,4,I
Genesis,21,2,429368,657093,L H MW<D,L,1,MW<D/,1,ø,0,ø,0,prep-art-subs,N,JLD[,wayq,2,7,I
Genesis,21,8,429387,657157,B JWM,B,1,JWM/,1,ø,0,ø,0,prep-subs,N,<FH[,wayq,2,5,I
Genesis,21,14,429404,657214,B H BQR,B,1,BQR=/,1,ø,0,ø,0,prep-art-subs,N,CKM[,wayq,2,4,I
Genesis,21,22,429444,657333,B H <T H HJ>,B,1,<T/,1,ø,0,ø,0,prep-art-subs-art-prde,N,HJH[,wayq,2,3,I
Genesis,21,23,429449,657346,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,21,26,429463,657393,BLT H JWM,BLT/,1,JWM/,1,ø,0,ø,0,prep-art-subs,Q,CM<[,perf,2,5,I
Genesis,21,34,429482,657462,JWM RB,ø,0,JWM/,1,ø,0,ø,0,subs-adjv,N,GWR[,wayq,2,5,I
Genesis,22,1,429483,657465,>XR H DBR H >LH,>XR/,1,DBR/,1,ø,0,ø,0,prep-art-subs-art-prde,N,HJH[,wayq,2,3,I
Genesis,22,3,429495,657499,B H BQR,B,1,BQR=/,1,ø,0,ø,0,prep-art-subs,N,CKM[,wayq,2,4,I
Genesis,22,12,429544,657645,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,JD<[,perf,2,2,I
Genesis,22,14,429556,657686,H JWM,ø,0,JWM/,1,ø,0,ø,0,art-subs,D,>MR[,impf,2,3,I
Genesis,22,20,429575,657745,>XR H DBR H >LH,>XR/,1,DBR/,1,ø,0,ø,0,prep-art-subs-art-prde,N,HJH[,wayq,2,3,I
Genesis,23,19,429657,657967,>XR KN,>XR/,1,ø,0,ø,0,KN,1,prep-advb,N,QBR[,perf,2,2,I
Genesis,24,11,429700,658121,L <T <RB L <T,L|L,2,<T/,1,ø,0,ø,0,prep-subs-subs-prep-subs,N,BRK=[,wayq,2,5,I
Genesis,24,12,429704,658130,H JWM,ø,0,JWM/,1,ø,0,ø,0,art-subs,Q,QRH[,impv,2,4,D
Genesis,24,41,429834,658482,>Z,ø,0,ø,0,ø,0,>Z,1,advb,Q,NQH[,impf,2,1,I
Genesis,24,42,429838,658499,H JWM,ø,0,JWM/,1,ø,0,ø,0,art-subs,N,BW>[,wayq,2,3,I
Genesis,24,49,429883,658619,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,24,54,429909,658693,B H BQR,B,1,BQR=/,1,ø,0,ø,0,prep-art-subs,N,QWM[,wayq,2,3,I
Genesis,24,55,429913,658704,JWM >W <FWR,ø,0,JWM/|<FWR/,2,ø,0,ø,0,subs-conj-subs,Q,JCB[,impf,2,4,I
Genesis,24,55,429914,658705,>XR,ø,0,ø,0,ø,0,>XR/,1,advb,Q,HLK[,impf,2,1,I
Genesis,25,11,429991,658929,>XR MWT >BRHM,>XR/,1,MWT/,1,ø,0,ø,0,prep-subs-nmpr,N,HJH[,wayq,2,3,I
Genesis,25,26,430038,659062,>XR KN,>XR/,1,ø,0,ø,0,KN,1,prep-advb,N,JY>[,perf,2,2,I
Genesis,25,31,430060,659133,K H JWM,K,1,JWM/,1,ø,0,ø,0,prep-art-subs,Q,MKR[,impv,2,2,I
Genesis,25,33,430066,659152,K H JWM,K,1,JWM/,1,ø,0,ø,0,prep-art-subs,Q,CB<[,impv,2,3,I
Genesis,26,12,430125,659335,B H CNH H HJ>,B,1,CNH/,1,ø,0,ø,0,prep-art-subs-art-prde,N,MY>[,wayq,2,3,I
Genesis,26,15,430133,659362,B JWM >BRHM >B,B,1,JWM/,1,ø,0,ø,0,prep-subs-nmpr-subs,N,XPR=[,perf,2,4,D
Genesis,26,18,430144,659396,B JWM >BRHM >B,B,1,JWM/,1,ø,0,ø,0,prep-subs-nmpr-subs,N,XPR=[,perf,2,3,D
Genesis,26,18,430145,659400,>XR MWT >BRHM,>XR/,1,MWT/,1,ø,0,ø,0,prep-subs-nmpr,N,STM[,wayq,2,4,D
Genesis,26,22,430163,659458,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,RXB[,perf,2,2,I
Genesis,26,24,430166,659473,B H LJLH H HW>,B,1,LJLH/,1,ø,0,ø,0,prep-art-subs-art-prde,N,R>H[,wayq,2,5,I
Genesis,26,31,430197,659572,B H BQR,B,1,BQR=/,1,ø,0,ø,0,prep-art-subs,N,CKM[,wayq,2,3,I
Genesis,26,32,430202,659586,B H JWM H HW>,B,1,JWM/,1,ø,0,ø,0,prep-art-subs-art-prde,N,HJH[,wayq,2,3,I
Genesis,26,33,430209,659608,<D H JWM H ZH,<D,1,JWM/,1,ø,0,ø,0,prep-art-subs-art-prde,N,ø,ø,2,4,I
Genesis,27,3,430225,659650,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,27,7,430248,659713,L PNH MWT,L,1,PNH/,1,ø,0,ø,0,prep-subs-subs,Q,BRK[,impf,2,4,I
Genesis,27,8,430249,659715,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,27,10,430259,659745,L PNH MWT,L,1,PNH/,1,ø,0,ø,0,prep-subs-subs,Q,BRK[,impf,2,3,I
Genesis,27,43,430429,660203,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,27,44,430434,660216,JWM >XD,ø,0,JWM/,1,>XD/,1,ø,0,subs-subs,Q,JCB[,weqt,2,4,I
Genesis,27,45,430441,660236,JWM >XD,ø,0,JWM/,1,>XD/,1,ø,0,subs-subs,Q,CKL[,impf,2,4,I
Genesis,28,18,430517,660478,B H BQR,B,1,BQR=/,1,ø,0,ø,0,prep-art-subs,N,CKM[,wayq,2,4,I
Genesis,28,19,430523,660501,L H R>CWN,L,1,R>CWN/,1,ø,0,ø,0,prep-art-subs,N,ø,ø,2,5,I
Genesis,29,14,430603,660737,XDC JWM,ø,0,XDC=/,1,ø,0,ø,0,subs-subs,N,JCB[,wayq,2,4,I
Genesis,29,18,430616,660775,CB< CNH,ø,0,CB</,1,CB</,1,ø,0,subs-subs,Q,<BD[,impf,2,2,I
Genesis,29,20,430622,660793,CB< CNH,ø,0,CB</,1,CB</,1,ø,0,subs-subs,N,<BD[,wayq,2,5,I
Genesis,29,23,430630,660820,B H <RB,B,1,<RB/,1,ø,0,ø,0,prep-art-subs,N,HJH[,wayq,2,3,I
Genesis,29,25,430636,660840,B H BQR,B,1,BQR=/,1,ø,0,ø,0,prep-art-subs,N,HJH[,wayq,2,3,I
Genesis,29,27,430647,660880,CB< CNH >XR,ø,0,CB</,1,CB</,1,ø,0,subs-subs-adjv,Q,<BD[,impf,2,5,D
Genesis,29,30,430656,660912,CB< CNH >XR,ø,0,CB</,1,CB</,1,ø,0,subs-subs-adjv,N,<BD[,wayq,2,5,I
Genesis,29,32,430666,660942,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,>HB[,impf,2,2,I
Genesis,29,34,430677,660975,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,LWH[,impf,2,1,I
Genesis,30,14,430732,661154,B JWM QYJR XVH,B,1,JWM/,1,ø,0,ø,0,prep-subs-subs-subs,N,HLK[,wayq,2,4,I
Genesis,30,15,430742,661187,H LJLH,ø,0,LJLH/,1,ø,0,ø,0,art-subs,Q,CKB[,impf,2,4,I
Genesis,30,16,430743,661193,B H <RB,B,1,<RB/,1,ø,0,ø,0,prep-art-subs,N,BW>[,wayq,2,5,I
Genesis,30,16,430749,661209,B H LJLH,B,1,LJLH/,1,ø,0,ø,0,prep-art-subs,N,CKB[,wayq,2,4,I
Genesis,30,21,430764,661261,>XR,ø,0,ø,0,ø,0,>XR/,1,advb,N,JLD[,perf,2,2,I
Genesis,30,30,430798,661364,L PNH,L,1,PNH/,1,ø,0,ø,0,prep-subs,Q,HJH[,perf,2,4,D
Genesis,30,30,430801,661374,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,30,32,430811,661401,H JWM,ø,0,JWM/,1,ø,0,ø,0,art-subs,Q,<BR[,impf,2,3,I
Genesis,30,33,430814,661412,B JWM MXR,B,1,JWM/,1,ø,0,ø,0,prep-subs-subs,Q,<NH[,weqt,2,5,I
Genesis,30,35,430822,661433,B H JWM H HW>,B,1,JWM/,1,ø,0,ø,0,prep-art-subs-art-prde,N,SWR[,wayq,2,3,I
Genesis,30,41,430845,661506,B KL,B,1,KL/,1,ø,0,ø,0,prep-subs,N,HJH[,perf,2,3,I
Genesis,31,10,430886,661642,B <T,B,1,<T/,1,ø,0,ø,0,prep-subs,N,HJH[,wayq,2,3,I
Genesis,31,16,430918,661734,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,31,22,430939,661797,B H JWM H CLJCJ,B,1,JWM/,1,ø,0,ø,0,prep-art-subs-art-adjv,N,NGD[,wayq,2,4,I
Genesis,31,24,430944,661818,H LJLH,ø,0,LJLH/,1,ø,0,ø,0,art-subs,N,BW>[,wayq,2,6,I
Genesis,31,29,430966,661883,>MC,ø,0,ø,0,ø,0,>MC/,1,advb,Q,>MR[,perf,2,3,I
Genesis,31,30,430970,661893,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,ø,ø,2,2,I
Genesis,31,38,431013,662019,<FRJM CNH,ø,0,<FRJM/,1,<FRJM/,1,ø,0,subs-subs,Q,ø,ø,2,2,I
Genesis,31,40,431020,662038,B H JWM,B,1,JWM/,1,ø,0,ø,0,prep-art-subs,Q,>KL[,perf,2,1,I
Genesis,31,40,431021,662043,B H LJLH,B,1,LJLH/,1,ø,0,ø,0,prep-art-subs,Q,ø,ø,2,3,I
Genesis,31,41,431025,662053,>RB< <FRH CNH,ø,0,>RB</,1,>RB</|<FRH/,2,ø,0,subs-subs-subs,Q,<BD[,perf,2,2,I
Genesis,31,41,431026,662056,CC CNH,ø,0,CC/,1,CC/,1,ø,0,subs-subs,Q,ø,ø,2,2,I
Genesis,31,42,431029,662067,<TH,ø,0,ø,0,ø,0,<TH,1,advb,Q,CLX[,perf,2,2,I
Genesis,31,42,431031,662075,>MC,ø,0,ø,0,ø,0,>MC/,1,advb,N,JKX[,wayq,2,3,I
Genesis,31,43,431041,662102,H JWM,ø,0,JWM/,1,ø,0,ø,0,art-subs,Q,<FH[,impf,2,4,D
